% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.004000 1 0.000000 0.000000 0.000000 2 0.008000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.14 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.016000 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.09 0.0000 3.3394 0.1608
0.012000 1 0.000000 0.000000 0.000000 2 0.024000 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.02 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.032000 10.000000 0.000000 10.0001 -76.2128 23.7872 0.0003 0.00 11000000.00 6116087.91 0.0000 3.3394 0.1608
0.020000 1 0.000000 0.000000 0.000000 2 0.040000 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.78 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.048000 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.62 0.0000 3.3394 0.1608
0.028000 1 0.000000 0.000000 0.000000 2 0.056000 10.000000 0.000000 10.0002 -76.2131 23.7869 0.0003 0.00 11000000.00 6116087.42 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.064000 10.000000 0.000000 10.0002 -76.2132 23.7868 0.0003 0.00 11000000.00 6116087.20 0.0000 3.3394 0.1608
0.036000 1 0.000000 0.000000 0.000000 2 0.072000 10.000000 0.000000 10.0003 -76.2134 23.7866 0.0003 0.00 11000000.00 6116086.95 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.080000 10.000000 0.000000 10.0003 -76.2135 23.7865 0.0003 0.00 11000000.00 6116086.67 0.0000 3.3394 0.1608
0.044000 1 0.000000 0.000000 0.000000 2 0.088000 10.000000 0.000000 10.0004 -76.2137 23.7863 0.0003 0.00 11000000.00 6116086.35 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.096000 10.000000 0.000000 10.0005 -76.2138 23.7862 0.0003 0.00 11000000.00 6116086.01 0.0000 3.3394 0.1608
0.052000 1 0.000000 0.000000 0.000000 2 0.104000 10.000000 0.000000 10.0005 -76.2140 23.7860 0.0003 0.00 11000000.00 6116085.64 0.0000 3.3394 0.1608
