% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.004000 1 0.000000 0.000000 0.000000 2 0.008400 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.14 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.016800 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.09 0.0000 3.3394 0.1608
0.012000 1 0.000000 0.000000 0.000000 2 0.025200 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.01 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.033600 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.89 0.0000 3.3394 0.1608
0.020000 1 0.000000 0.000000 0.000000 2 0.042000 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.74 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.050400 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.56 0.0000 3.3394 0.1608
0.028000 1 0.000000 0.000000 0.000000 2 0.058800 10.000000 0.000000 10.0002 -76.2131 23.7869 0.0003 0.00 11000000.00 6116087.35 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.067200 10.000000 0.000000 10.0002 -76.2133 23.7867 0.0003 0.00 11000000.00 6116087.10 0.0000 3.3394 0.1608
0.036000 1 0.000000 0.000000 0.000000 2 0.075600 10.000000 0.000000 10.0003 -76.2134 23.7866 0.0003 0.00 11000000.00 6116086.82 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.084000 10.000000 0.000000 10.0004 -76.2136 23.7864 0.0003 0.00 11000000.00 6116086.51 0.0000 3.3394 0.1608
0.044000 1 0.000000 0.000000 0.000000 2 0.092400 10.000000 0.000000 10.0004 -76.2138 23.7862 0.0003 0.00 11000000.00 6116086.17 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.100800 10.000000 0.000000 10.0005 -76.2140 23.7860 0.0003 0.00 11000000.00 6116085.79 0.0000 3.3394 0.1608
0.052000 1 0.000000 0.000000 0.000000 2 0.109200 10.000000 0.000000 10.0006 -76.2142 23.7858 0.0003 0.00 11000000.00 6116085.38 0.0000 3.3394 0.1608
0.056000 1 0.000000 0.000000 0.000000 2 0.117600 10.000000 0.000000 10.0007 -76.2144 23.7856 0.0003 0.00 11000000.00 6116084.94 0.0000 3.3394 0.1608
0.060000 1 0.000000 0.000000 0.000000 2 0.126000 10.000000 0.000000 10.0008 -76.2147 23.7853 0.0003 0.00 11000000.00 6116084.46 0.0000 3.3394 0.1608
0.064000 1 0.000000 0.000000 0.000000 2 0.134400 10.000000 0.000000 10.0009 -76.2149 23.7851 0.0003 0.00 11000000.00 6116083.95 0.0000 3.3394 0.1608
0.068000 1 0.000000 0.000000 0.000000 2 0.142800 10.000000 0.000000 10.0010 -76.2152 23.7848 0.0003 0.00 11000000.00 6116083.41 0.0000 3.3394 0.1608
0.072000 1 0.000000 0.000000 0.000000 2 0.151200 10.000000 0.000000 10.0011 -76.2155 23.7845 0.0003 0.00 11000000.00 6116082.84 0.0000 3.3394 0.1608
0.076000 1 0.000000 0.000000 0.000000 2 0.159600 10.000000 0.000000 10.0013 -76.2158 23.7842 0.0003 0.00 11000000.00 6116082.23 0.0000 3.3394 0.1608
0.080000 1 0.000000 0.000000 0.000000 2 0.168000 10.000000 0.000000 10.0014 -76.2162 23.7838 0.0003 0.00 11000000.00 6116081.59 0.0000 3.3394 0.1608
0.084000 1 0.000000 0.000000 0.000000 2 0.176400 10.000000 0.000000 10.0016 -76.2165 23.7835 0.0003 0.00 11000000.00 6116080.91 0.0000 3.3394 0.1608
0.088000 1 0.000000 0.000000 0.000000 2 0.184800 10.000000 0.000000 10.0017 -76.2169 23.7831 0.0003 0.00 11000000.00 6116080.20 0.0000 3.3394 0.1608
0.092000 1 0.000000 0.000000 0.000000 2 0.193200 10.000000 0.000000 10.0019 -76.2173 23.7827 0.0003 0.00 11000000.00 6116079.46 0.0000 3.3394 0.1608
0.096000 1 0.000000 0.000000 0.000000 2 0.201600 10.000000 0.000000 10.0020 -76.2177 23.7823 0.0003 0.00 11000000.00 6116078.69 0.0000 3.3394 0.1608
0.100000 1 0.000000 0.000000 0.000000 2 0.210000 10.000000 0.000000 10.0022 -76.2181 23.7819 0.0003 0.00 11000000.00 6116077.88 0.0000 3.3394 0.1608
0.104000 1 0.000000 0.000000 0.000000 2 0.218400 10.000000 0.000000 10.0024 -76.2185 23.7815 0.0003 0.00 11000000.00 6116077.04 0.0000 3.3394 0.1608
0.108000 1 0.000000 0.000000 0.000000 2 0.226800 10.000000 0.000000 10.0026 -76.2190 23.7810 0.0003 0.00 11000000.00 6116076.17 0.0000 3.3394 0.1608
0.112000 1 0.000000 0.000000 0.000000 2 0.235200 10.000000 0.000000 10.0028 -76.2194 23.7806 0.0003 0.00 11000000.00 6116075.26 0.0000 3.3394 0.1608
0.116000 1 0.000000 0.000000 0.000000 2 0.243600 10.000000 0.000000 10.0030 -76.2199 23.7801 0.0003 0.00 11000000.00 6116074.32 0.0000 3.3394 0.1608
0.120000 1 0.000000 0.000000 0.000000 2 0.252000 10.000000 0.000000 10.0032 -76.2204 23.7796 0.0003 0.00 11000000.00 6116073.35 0.0000 3.3394 0.1608
0.124000 1 0.000000 0.000000 0.000000 2 0.260400 10.000000 0.000000 10.0034 -76.2210 23.7790 0.0003 0.00 11000000.00 6116072.34 0.0000 3.3394 0.1608
0.128000 1 0.000000 0.000000 0.000000 2 0.268800 10.000000 0.000000 10.0036 -76.2215 23.7785 0.0003 0.00 11000000.00 6116071.30 0.0000 3.3394 0.1608
0.132000 1 0.000000 0.000000 0.000000 2 0.277200 10.000000 0.000000 10.0038 -76.2221 23.7779 0.0003 0.00 11000000.00 6116070.23 0.0000 3.3394 0.1608
0.136000 1 0.000000 0.000000 0.000000 2 0.285600 10.000000 0.000000 10.0041 -76.2226 23.7774 0.0003 0.00 11000000.00 6116069.12 0.0000 3.3394 0.1608
0.140000 1 0.000000 0.000000 0.000000 2 0.294000 10.000000 0.000000 10.0043 -76.2232 23.7768 0.0003 0.00 11000000.00 6116067.98 0.0000 3.3394 0.1608
0.144000 1 0.000000 0.000000 0.000000 2 0.302400 10.000000 0.000000 10.0046 -76.2238 23.7762 0.0003 0.00 11000000.00 6116066.80 0.0000 3.3394 0.1608
0.148000 1 0.000000 0.000000 0.000000 2 0.310800 10.000000 0.000000 10.0048 -76.2245 23.7755 0.0003 0.00 11000000.00 6116065.59 0.0000 3.3394 0.1608
0.152000 1 0.000000 0.000000 0.000000 2 0.319200 10.000000 0.000000 10.0051 -76.2251 23.7749 0.0003 0.00 11000000.00 6116064.35 0.0000 3.3394 0.1608
0.156000 1 0.000000 0.000000 0.000000 2 0.327600 10.000000 0.000000 10.0054 -76.2258 23.7742 0.0003 0.00 11000000.00 6116063.07 0.0000 3.3394 0.1608
0.160000 1 0.000000 0.000000 0.000000 2 0.336000 10.000000 0.000000 10.0056 -76.2264 23.7736 0.0003 0.00 11000000.00 6116061.76 0.0000 3.3394 0.1608
0.164000 1 0.000000 0.000000 0.000000 2 0.344400 10.000000 0.000000 10.0059 -76.2271 23.7729 0.0003 0.00 11000000.00 6116060.41 0.0000 3.3394 0.1608
0.168000 1 0.000000 0.000000 0.000000 2 0.352800 10.000000 0.000000 10.0062 -76.2278 23.7722 0.0003 0.00 11000000.00 6116059.04 0.0000 3.3394 0.1608
0.172000 1 0.000000 0.000000 0.000000 2 0.361200 10.000000 0.000000 10.0065 -76.2286 23.7714 0.0003 0.00 11000000.00 6116057.62 0.0000 3.3394 0.1608
0.176000 1 0.000000 0.000000 0.000000 2 0.369600 10.000000 0.000000 10.0068 -76.2293 23.7707 0.0003 0.00 11000000.00 6116056.17 0.0000 3.3394 0.1608
0.180000 1 0.000000 0.000000 0.000000 2 0.378000 10.000000 0.000000 10.0071 -76.2301 23.7699 0.0003 0.00 11000000.00 6116054.69 0.0000 3.3394 0.1608
0.184000 1 0.000000 0.000000 0.000000 2 0.386400 10.000000 0.000000 10.0075 -76.2309 23.7691 0.0003 0.00 11000000.00 6116053.18 0.0000 3.3394 0.1608
0.188000 1 0.000000 0.000000 0.000000 2 0.394800 10.000000 0.000000 10.0078 -76.2317 23.7683 0.0003 0.00 11000000.00 6116051.63 0.0000 3.3394 0.1608
0.192000 1 0.000000 0.000000 0.000000 2 0.403200 10.000000 0.000000 10.0081 -76.2325 23.7675 0.0003 0.00 11000000.00 6116050.04 0.0000 3.3394 0.1608
0.196000 1 0.000000 0.000000 0.000000 2 0.411600 10.000000 0.000000 10.0085 -76.2333 23.7667 0.0003 0.00 11000000.00 6116048.42 0.0000 3.3394 0.1608
0.200000 1 0.000000 0.000000 0.000000 2 0.420000 10.000000 0.000000 10.0088 -76.2342 23.7658 0.0003 0.00 11000000.00 6116046.77 0.0000 3.3394 0.1608
0.204000 1 0.000000 0.000000 0.000000 2 0.428400 10.000000 0.000000 10.0092 -76.2350 23.7650 0.0003 0.00 11000000.00 6116045.08 0.0000 3.3394 0.1608
