% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.020000 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.06 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.040000 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.78 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.060000 10.000000 0.000000 10.0002 -76.2132 23.7868 0.0003 0.00 11000000.00 6116087.32 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.080000 10.000000 0.000000 10.0003 -76.2135 23.7865 0.0003 0.00 11000000.00 6116086.67 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.100000 10.000000 0.000000 10.0005 -76.2139 23.7861 0.0003 0.00 11000000.00 6116085.83 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.120000 10.000000 0.000000 10.0007 -76.2145 23.7855 0.0003 0.00 11000000.00 6116084.80 0.0000 3.3394 0.1608
0.056000 1 0.000000 0.000000 0.000000 2 0.140000 10.000000 0.000000 10.0010 -76.2151 23.7849 0.0003 0.00 11000000.00 6116083.59 0.0000 3.3394 0.1608
0.064000 1 0.000000 0.000000 0.000000 2 0.160000 10.000000 0.000000 10.0013 -76.2158 23.7842 0.0003 0.00 11000000.00 6116082.20 0.0000 3.3394 0.1608
0.072000 1 0.000000 0.000000 0.000000 2 0.180000 10.000000 0.000000 10.0016 -76.2167 23.7833 0.0003 0.00 11000000.00 6116080.61 0.0000 3.3394 0.1608
0.080000 1 0.000000 0.000000 0.000000 2 0.200000 10.000000 0.000000 10.0020 -76.2176 23.7824 0.0003 0.00 11000000.00 6116078.84 0.0000 3.3394 0.1608
0.088000 1 0.000000 0.000000 0.000000 2 0.220000 10.000000 0.000000 10.0024 -76.2186 23.7814 0.0003 0.00 11000000.00 6116076.88 0.0000 3.3394 0.1608
0.096000 1 0.000000 0.000000 0.000000 2 0.240000 10.000000 0.000000 10.0029 -76.2197 23.7803 0.0003 0.00 11000000.00 6116074.73 0.0000 3.3394 0.1608
0.104000 1 0.000000 0.000000 0.000000 2 0.260000 10.000000 0.000000 10.0034 -76.2209 23.7791 0.0003 0.00 11000000.00 6116072.39 0.0000 3.3394 0.1608
0.112000 1 0.000000 0.000000 0.000000 2 0.280000 10.000000 0.000000 10.0039 -76.2223 23.7777 0.0003 0.00 11000000.00 6116069.86 0.0000 3.3394 0.1608
0.120000 1 0.000000 0.000000 0.000000 2 0.300000 10.000000 0.000000 10.0045 -76.2237 23.7763 0.0003 0.00 11000000.00 6116067.14 0.0000 3.3394 0.1608
