% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.004000 1 0.000000 0.000000 0.000000 2 0.010000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.13 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.020000 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.06 0.0000 3.3394 0.1608
0.012000 1 0.000000 0.000000 0.000000 2 0.030000 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116087.94 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.040000 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.78 0.0000 3.3394 0.1608
0.020000 1 0.000000 0.000000 0.000000 2 0.050000 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.57 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.060000 10.000000 0.000000 10.0002 -76.2132 23.7868 0.0003 0.00 11000000.00 6116087.32 0.0000 3.3394 0.1608
0.028000 1 0.000000 0.000000 0.000000 2 0.070000 10.000000 0.000000 10.0002 -76.2133 23.7867 0.0003 0.00 11000000.00 6116087.01 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.080000 10.000000 0.000000 10.0003 -76.2135 23.7865 0.0003 0.00 11000000.00 6116086.67 0.0000 3.3394 0.1608
0.036000 1 0.000000 0.000000 0.000000 2 0.090000 10.000000 0.000000 10.0004 -76.2137 23.7863 0.0003 0.00 11000000.00 6116086.27 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.100000 10.000000 0.000000 10.0005 -76.2139 23.7861 0.0003 0.00 11000000.00 6116085.83 0.0000 3.3394 0.1608
0.044000 1 0.000000 0.000000 0.000000 2 0.110000 10.000000 0.000000 10.0006 -76.2142 23.7858 0.0003 0.00 11000000.00 6116085.34 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.120000 10.000000 0.000000 10.0007 -76.2145 23.7855 0.0003 0.00 11000000.00 6116084.80 0.0000 3.3394 0.1608
0.052000 1 0.000000 0.000000 0.000000 2 0.130000 10.000000 0.000000 10.0008 -76.2148 23.7852 0.0003 0.00 11000000.00 6116084.22 0.0000 3.3394 0.1608
0.056000 1 0.000000 0.000000 0.000000 2 0.140000 10.000000 0.000000 10.0010 -76.2151 23.7849 0.0003 0.00 11000000.00 6116083.59 0.0000 3.3394 0.1608
0.060000 1 0.000000 0.000000 0.000000 2 0.150000 10.000000 0.000000 10.0011 -76.2155 23.7845 0.0003 0.00 11000000.00 6116082.92 0.0000 3.3394 0.1608
0.064000 1 0.000000 0.000000 0.000000 2 0.160000 10.000000 0.000000 10.0013 -76.2158 23.7842 0.0003 0.00 11000000.00 6116082.20 0.0000 3.3394 0.1608
0.068000 1 0.000000 0.000000 0.000000 2 0.170000 10.000000 0.000000 10.0014 -76.2162 23.7838 0.0003 0.00 11000000.00 6116081.43 0.0000 3.3394 0.1608
0.072000 1 0.000000 0.000000 0.000000 2 0.180000 10.000000 0.000000 10.0016 -76.2167 23.7833 0.0003 0.00 11000000.00 6116080.61 0.0000 3.3394 0.1608
0.076000 1 0.000000 0.000000 0.000000 2 0.190000 10.000000 0.000000 10.0018 -76.2171 23.7829 0.0003 0.00 11000000.00 6116079.75 0.0000 3.3394 0.1608
0.080000 1 0.000000 0.000000 0.000000 2 0.200000 10.000000 0.000000 10.0020 -76.2176 23.7824 0.0003 0.00 11000000.00 6116078.84 0.0000 3.3394 0.1608
0.084000 1 0.000000 0.000000 0.000000 2 0.210000 10.000000 0.000000 10.0022 -76.2181 23.7819 0.0003 0.00 11000000.00 6116077.88 0.0000 3.3394 0.1608
0.088000 1 0.000000 0.000000 0.000000 2 0.220000 10.000000 0.000000 10.0024 -76.2186 23.7814 0.0003 0.00 11000000.00 6116076.88 0.0000 3.3394 0.1608
0.092000 1 0.000000 0.000000 0.000000 2 0.230000 10.000000 0.000000 10.0026 -76.2192 23.7808 0.0003 0.00 11000000.00 6116075.83 0.0000 3.3394 0.1608
0.096000 1 0.000000 0.000000 0.000000 2 0.240000 10.000000 0.000000 10.0029 -76.2197 23.7803 0.0003 0.00 11000000.00 6116074.73 0.0000 3.3394 0.1608
0.100000 1 0.000000 0.000000 0.000000 2 0.250000 10.000000 0.000000 10.0031 -76.2203 23.7797 0.0003 0.00 11000000.00 6116073.58 0.0000 3.3394 0.1608
