% Output generated by QOMET v2.1.0 - deltaQ (revision 146)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.12 0 0.000000 0.000000 0.000000 1 0.174000 10.000000 0.000000 10.0015 -76.2082 23.7918 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.12 0 0.000000 0.000000 0.000000 1 0.180000 10.000000 0.000000 10.0016 -76.2085 23.7915 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.12 0 0.000000 0.000000 0.000000 1 0.186000 10.000000 0.000000 10.0017 -76.2088 23.7912 0.0000 0.0000 11000000.00 6117997.89 0.0000 3.3390 0.1600
0.13 0 0.000000 0.000000 0.000000 1 0.192000 10.000000 0.000000 10.0018 -76.2090 23.7910 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.13 0 0.000000 0.000000 0.000000 1 0.198000 10.000000 0.000000 10.0020 -76.2093 23.7907 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.14 0 0.000000 0.000000 0.000000 1 0.204000 10.000000 0.000000 10.0021 -76.2096 23.7904 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.14 0 0.000000 0.000000 0.000000 1 0.210000 10.000000 0.000000 10.0022 -76.2099 23.7901 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.14 0 0.000000 0.000000 0.000000 1 0.216000 10.000000 0.000000 10.0023 -76.2102 23.7898 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.15 0 0.000000 0.000000 0.000000 1 0.222000 10.000000 0.000000 10.0025 -76.2105 23.7895 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.15 0 0.000000 0.000000 0.000000 1 0.228000 10.000000 0.000000 10.0026 -76.2109 23.7891 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.16 0 0.000000 0.000000 0.000000 1 0.234000 10.000000 0.000000 10.0027 -76.2112 23.7888 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.16 0 0.000000 0.000000 0.000000 1 0.240000 10.000000 0.000000 10.0029 -76.2115 23.7885 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.16 0 0.000000 0.000000 0.000000 1 0.246000 10.000000 0.000000 10.0030 -76.2119 23.7881 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.17 0 0.000000 0.000000 0.000000 1 0.252000 10.000000 0.000000 10.0032 -76.2123 23.7877 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.17 0 0.000000 0.000000 0.000000 1 0.258000 10.000000 0.000000 10.0033 -76.2126 23.7874 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.18 0 0.000000 0.000000 0.000000 1 0.264000 10.000000 0.000000 10.0035 -76.2130 23.7870 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.18 0 0.000000 0.000000 0.000000 1 0.270000 10.000000 0.000000 10.0036 -76.2134 23.7866 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.18 0 0.000000 0.000000 0.000000 1 0.276000 10.000000 0.000000 10.0038 -76.2138 23.7862 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.19 0 0.000000 0.000000 0.000000 1 0.282000 10.000000 0.000000 10.0040 -76.2142 23.7858 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.19 0 0.000000 0.000000 0.000000 1 0.288000 10.000000 0.000000 10.0041 -76.2146 23.7854 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.20 0 0.000000 0.000000 0.000000 1 0.294000 10.000000 0.000000 10.0043 -76.2151 23.7849 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.20 0 0.000000 0.000000 0.000000 1 0.300000 10.000000 0.000000 10.0045 -76.2155 23.7845 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.20 0 0.000000 0.000000 0.000000 1 0.306000 10.000000 0.000000 10.0047 -76.2159 23.7841 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.21 0 0.000000 0.000000 0.000000 1 0.312000 10.000000 0.000000 10.0049 -76.2164 23.7836 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.21 0 0.000000 0.000000 0.000000 1 0.318000 10.000000 0.000000 10.0051 -76.2168 23.7832 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.22 0 0.000000 0.000000 0.000000 1 0.324000 10.000000 0.000000 10.0052 -76.2173 23.7827 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.22 0 0.000000 0.000000 0.000000 1 0.330000 10.000000 0.000000 10.0054 -76.2178 23.7822 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.22 0 0.000000 0.000000 0.000000 1 0.336000 10.000000 0.000000 10.0056 -76.2183 23.7817 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.23 0 0.000000 0.000000 0.000000 1 0.342000 10.000000 0.000000 10.0058 -76.2188 23.7812 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.23 0 0.000000 0.000000 0.000000 1 0.348000 10.000000 0.000000 10.0061 -76.2193 23.7807 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.24 0 0.000000 0.000000 0.000000 1 0.354000 10.000000 0.000000 10.0063 -76.2198 23.7802 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.24 0 0.000000 0.000000 0.000000 1 0.360000 10.000000 0.000000 10.0065 -76.2203 23.7797 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.24 0 0.000000 0.000000 0.000000 1 0.366000 10.000000 0.000000 10.0067 -76.2208 23.7792 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.25 0 0.000000 0.000000 0.000000 1 0.372000 10.000000 0.000000 10.0069 -76.2214 23.7786 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.25 0 0.000000 0.000000 0.000000 1 0.378000 10.000000 0.000000 10.0071 -76.2219 23.7781 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.26 0 0.000000 0.000000 0.000000 1 0.384000 10.000000 0.000000 10.0074 -76.2225 23.7775 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.26 0 0.000000 0.000000 0.000000 1 0.390000 10.000000 0.000000 10.0076 -76.2230 23.7770 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.26 0 0.000000 0.000000 0.000000 1 0.396000 10.000000 0.000000 10.0078 -76.2236 23.7764 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.27 0 0.000000 0.000000 0.000000 1 0.402000 10.000000 0.000000 10.0081 -76.2242 23.7758 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.27 0 0.000000 0.000000 0.000000 1 0.408000 10.000000 0.000000 10.0083 -76.2248 23.7752 0.0000 0.0000 11000000.00 6117997.88 0.0000 3.3390 0.1600
0.28 0 0.000000 0.000000 0.000000 1 0.414000 10.000000 0.000000 10.0086 -76.2254 23.7746 0.0000 0.0000 11000000.00 6117997.87 0.0000 3.3390 0.1600
0.28 0 0.000000 0.000000 0.000000 1 0.420000 10.000000 0.000000 10.0088 -76.2260 23.7740 0.0000 0.0000 11000000.00 6117997.87 0.0000 3.3390 0.1600
0.28 0 0.000000 0.000000 0.000000 1 0.426000 10.000000 0.000000 10.0091 -76.2266 23.7734 0.0000 0.0000 11000000.00 6117997.87 0.0000 3.3390 0.1600
