% Output generated by QOMET v1.5.0 beta (revision N/A)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.000000 1 0.000000 0.000000 0.000000 2 0.000000 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.004000 1 0.000000 0.000000 0.000000 2 0.006400 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.14 0.0000 3.3394 0.1608
0.008000 1 0.000000 0.000000 0.000000 2 0.012800 10.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.00 11000000.00 6116088.11 0.0000 3.3394 0.1608
0.012000 1 0.000000 0.000000 0.000000 2 0.019200 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.07 0.0000 3.3394 0.1608
0.016000 1 0.000000 0.000000 0.000000 2 0.025600 10.000000 0.000000 10.0000 -76.2128 23.7872 0.0003 0.00 11000000.00 6116088.00 0.0000 3.3394 0.1608
0.020000 1 0.000000 0.000000 0.000000 2 0.032000 10.000000 0.000000 10.0001 -76.2128 23.7872 0.0003 0.00 11000000.00 6116087.91 0.0000 3.3394 0.1608
0.024000 1 0.000000 0.000000 0.000000 2 0.038400 10.000000 0.000000 10.0001 -76.2129 23.7871 0.0003 0.00 11000000.00 6116087.81 0.0000 3.3394 0.1608
0.028000 1 0.000000 0.000000 0.000000 2 0.044800 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.69 0.0000 3.3394 0.1608
0.032000 1 0.000000 0.000000 0.000000 2 0.051200 10.000000 0.000000 10.0001 -76.2130 23.7870 0.0003 0.00 11000000.00 6116087.54 0.0000 3.3394 0.1608
0.036000 1 0.000000 0.000000 0.000000 2 0.057600 10.000000 0.000000 10.0002 -76.2131 23.7869 0.0003 0.00 11000000.00 6116087.38 0.0000 3.3394 0.1608
0.040000 1 0.000000 0.000000 0.000000 2 0.064000 10.000000 0.000000 10.0002 -76.2132 23.7868 0.0003 0.00 11000000.00 6116087.20 0.0000 3.3394 0.1608
0.044000 1 0.000000 0.000000 0.000000 2 0.070400 10.000000 0.000000 10.0002 -76.2133 23.7867 0.0003 0.00 11000000.00 6116087.00 0.0000 3.3394 0.1608
0.048000 1 0.000000 0.000000 0.000000 2 0.076800 10.000000 0.000000 10.0003 -76.2134 23.7866 0.0003 0.00 11000000.00 6116086.78 0.0000 3.3394 0.1608
0.052000 1 0.000000 0.000000 0.000000 2 0.083200 10.000000 0.000000 10.0003 -76.2136 23.7864 0.0003 0.00 11000000.00 6116086.54 0.0000 3.3394 0.1608
0.056000 1 0.000000 0.000000 0.000000 2 0.089600 10.000000 0.000000 10.0004 -76.2137 23.7863 0.0003 0.00 11000000.00 6116086.29 0.0000 3.3394 0.1608
0.060000 1 0.000000 0.000000 0.000000 2 0.096000 10.000000 0.000000 10.0005 -76.2138 23.7862 0.0003 0.00 11000000.00 6116086.01 0.0000 3.3394 0.1608
0.064000 1 0.000000 0.000000 0.000000 2 0.102400 10.000000 0.000000 10.0005 -76.2140 23.7860 0.0003 0.00 11000000.00 6116085.72 0.0000 3.3394 0.1608
0.068000 1 0.000000 0.000000 0.000000 2 0.108800 10.000000 0.000000 10.0006 -76.2142 23.7858 0.0003 0.00 11000000.00 6116085.40 0.0000 3.3394 0.1608
0.072000 1 0.000000 0.000000 0.000000 2 0.115200 10.000000 0.000000 10.0007 -76.2143 23.7857 0.0003 0.00 11000000.00 6116085.07 0.0000 3.3394 0.1608
0.076000 1 0.000000 0.000000 0.000000 2 0.121600 10.000000 0.000000 10.0007 -76.2145 23.7855 0.0003 0.00 11000000.00 6116084.71 0.0000 3.3394 0.1608
0.080000 1 0.000000 0.000000 0.000000 2 0.128000 10.000000 0.000000 10.0008 -76.2147 23.7853 0.0003 0.00 11000000.00 6116084.34 0.0000 3.3394 0.1608
0.084000 1 0.000000 0.000000 0.000000 2 0.134400 10.000000 0.000000 10.0009 -76.2149 23.7851 0.0003 0.00 11000000.00 6116083.95 0.0000 3.3394 0.1608
0.088000 1 0.000000 0.000000 0.000000 2 0.140800 10.000000 0.000000 10.0010 -76.2151 23.7849 0.0003 0.00 11000000.00 6116083.54 0.0000 3.3394 0.1608
0.092000 1 0.000000 0.000000 0.000000 2 0.147200 10.000000 0.000000 10.0011 -76.2154 23.7846 0.0003 0.00 11000000.00 6116083.11 0.0000 3.3394 0.1608
0.096000 1 0.000000 0.000000 0.000000 2 0.153600 10.000000 0.000000 10.0012 -76.2156 23.7844 0.0003 0.00 11000000.00 6116082.66 0.0000 3.3394 0.1608
0.100000 1 0.000000 0.000000 0.000000 2 0.160000 10.000000 0.000000 10.0013 -76.2158 23.7842 0.0003 0.00 11000000.00 6116082.20 0.0000 3.3394 0.1608
0.104000 1 0.000000 0.000000 0.000000 2 0.166400 10.000000 0.000000 10.0014 -76.2161 23.7839 0.0003 0.00 11000000.00 6116081.71 0.0000 3.3394 0.1608
0.108000 1 0.000000 0.000000 0.000000 2 0.172800 10.000000 0.000000 10.0015 -76.2164 23.7836 0.0003 0.00 11000000.00 6116081.20 0.0000 3.3394 0.1608
0.112000 1 0.000000 0.000000 0.000000 2 0.179200 10.000000 0.000000 10.0016 -76.2166 23.7834 0.0003 0.00 11000000.00 6116080.68 0.0000 3.3394 0.1608
0.116000 1 0.000000 0.000000 0.000000 2 0.185600 10.000000 0.000000 10.0017 -76.2169 23.7831 0.0003 0.00 11000000.00 6116080.13 0.0000 3.3394 0.1608
