% Output generated by QOMET v2.1.0 - deltaQ (revision 146)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
2.90 0 0.000000 0.000000 0.000000 1 6.600000 10.000000 0.000000 11.9817 -80.6015 19.3985 0.0000 0.0000 11000000.00 6117948.27 0.0000 3.3390 0.1600
3.00 0 0.000000 0.000000 0.000000 1 7.000000 10.000000 0.000000 12.2066 -81.0538 18.9462 0.0000 0.0000 11000000.00 6117919.54 0.0000 3.3390 0.1600
3.10 0 0.000000 0.000000 0.000000 1 7.400000 10.000000 0.000000 12.4403 -81.5150 18.4850 0.0000 0.0000 11000000.00 6117873.26 0.0000 3.3390 0.1601
3.20 0 0.000000 0.000000 0.000000 1 7.800000 10.000000 0.000000 12.6823 -81.9836 18.0164 0.0000 0.0000 11000000.00 6117798.39 0.0000 3.3390 0.1601
3.30 0 0.000000 0.000000 0.000000 1 8.200000 10.000000 0.000000 12.9321 -82.4581 17.5419 0.0000 0.0000 11000000.00 6117676.88 0.0000 3.3391 0.1601
3.40 0 0.000000 0.000000 0.000000 1 8.600000 10.000000 0.000000 13.1894 -82.9371 17.0629 0.0001 0.0001 11000000.00 6117479.22 0.0000 3.3391 0.1602
3.50 0 0.000000 0.000000 0.000000 1 9.000000 10.000000 0.000000 13.4536 -83.4195 16.5805 0.0001 0.0001 11000000.00 6117157.27 0.0000 3.3392 0.1604
3.60 0 0.000000 0.000000 0.000000 1 9.400000 10.000000 0.000000 13.7244 -83.9042 16.0958 0.0002 0.0002 11000000.00 6116632.61 0.0000 3.3393 0.1606
3.70 0 0.000000 0.000000 0.000000 1 9.800000 10.000000 0.000000 14.0014 -84.3902 15.6098 0.0003 0.0003 11000000.00 6115777.87 0.0000 3.3395 0.1609
3.80 0 0.000000 0.000000 0.000000 1 10.200000 10.000000 0.000000 14.2843 -84.8766 15.1234 0.0005 0.0005 11000000.00 6114386.74 0.0000 3.3398 0.1615
3.90 0 0.000000 0.000000 0.000000 1 10.600000 10.000000 0.000000 14.5726 -85.3626 14.6374 0.0008 0.0008 11000000.00 6112126.19 0.0000 3.3403 0.1624
4.00 0 0.000000 0.000000 0.000000 1 11.000000 10.000000 0.000000 14.8661 -85.8475 14.1525 0.0013 0.0013 11000000.00 6108460.66 0.0000 3.3411 0.1640
4.10 0 0.000000 0.000000 0.000000 1 11.250000 10.000000 0.000000 15.0520 -86.1498 13.8502 0.0017 0.0017 11000000.00 6105093.51 0.0000 3.3418 0.1654
4.20 0 0.000000 0.000000 0.000000 1 11.500000 10.000000 0.000000 15.2398 -86.4513 13.5487 0.0023 0.0023 11000000.00 6100550.96 0.0000 3.3428 0.1673
4.30 0 0.000000 0.000000 0.000000 1 11.750000 10.000000 0.000000 15.4293 -86.7519 13.2481 0.0031 0.0031 11000000.00 6094430.13 0.0000 3.3442 0.1698
4.40 0 0.000000 0.000000 0.000000 1 12.000000 10.000000 0.000000 15.6205 -87.0515 12.9485 0.0042 0.0042 11000000.00 6086193.16 0.0000 3.3460 0.1733
4.50 0 0.000000 0.000000 0.000000 1 12.250000 10.000000 0.000000 15.8134 -87.3499 12.6501 0.0057 0.0057 11000000.00 6075123.16 0.0000 3.3485 0.1779
4.60 0 0.000000 0.000000 0.000000 1 12.500000 10.000000 0.000000 16.0078 -87.6471 12.3529 0.0076 0.0077 11000000.00 6060266.07 0.0000 3.3518 0.1841
4.70 0 0.000000 0.000000 0.000000 1 12.750000 10.000000 0.000000 16.2038 -87.9431 12.0569 0.0102 0.0103 11000000.00 6040353.85 0.0000 3.3562 0.1924
4.80 0 0.000000 0.000000 0.000000 1 13.000000 10.000000 0.000000 16.4012 -88.2376 11.7624 0.0137 0.0139 11000000.00 6013703.17 0.0000 3.3622 0.2036
4.90 0 0.000000 0.000000 0.000000 1 13.250000 10.000000 0.000000 16.6001 -88.5307 11.4693 0.0184 0.0188 11000000.00 5978081.24 0.0000 3.3703 0.2186
5.00 0 0.000000 0.000000 0.000000 1 13.500000 10.000000 0.000000 16.8003 -88.8223 11.1777 0.0246 0.0253 11000000.00 5930527.60 0.0000 3.3813 0.2386
5.10 0 0.000000 0.000000 0.000000 1 13.750000 10.000000 0.000000 17.0018 -89.1123 10.8877 0.0329 0.0340 11000000.00 5867115.60 0.0000 3.3963 0.2655
5.20 0 0.000000 0.000000 0.000000 1 14.000000 10.000000 0.000000 17.2047 -89.4007 10.5993 0.0439 0.0460 11000000.00 5782629.28 0.0000 3.4167 0.3015
5.30 0 0.000000 0.000000 0.000000 1 14.250000 10.000000 0.000000 17.4087 -89.6874 10.3126 0.0585 0.0622 11000000.00 5670117.12 0.0000 3.4448 0.3498
5.40 0 0.000000 0.000000 0.000000 1 14.500000 10.000000 0.000000 17.6139 -89.9725 10.0275 0.0778 0.0844 11000000.00 5520257.12 0.0000 3.4840 0.4150
5.50 0 0.000000 0.000000 0.000000 1 14.750000 10.000000 0.000000 17.8203 -90.2558 9.7442 0.1033 0.1152 11000000.00 5320416.97 0.0000 3.5397 0.5035
5.60 0 0.000000 0.000000 0.000000 1 15.000000 10.000000 0.000000 18.0278 -90.5373 9.4627 0.1369 0.1586 11000000.00 5053215.60 0.0000 3.6211 0.6251
5.70 0 0.000000 0.000000 0.000000 1 15.250000 10.000000 0.000000 18.2363 -90.8170 9.1830 0.1811 0.2211 11000000.00 4694408.44 0.0000 3.7451 0.7961
5.80 0 0.000000 0.000000 0.000000 1 15.500000 10.000000 0.000000 18.4459 -91.0949 8.9051 0.2391 0.3142 11000000.00 4210891.30 0.0000 3.9454 1.0446
5.90 0 0.000000 0.000000 0.000000 1 15.750000 10.000000 0.000000 18.6564 -91.3709 8.6291 0.3151 0.4597 11000000.00 3565184.09 0.0003 4.2978 1.4233
