% Output generated by QOMET v2.1.0 beta - deltaQ (revision 92)
% time from_id from_node_x from_node_y from_node_z to_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
7.00 1 3.500000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.5948 -77.6179 22.3821 0.0000 0.0000 11000000.00 6192786.25 0.0000 1.3590 0.1600
7.50 0 0.000000 0.000000 0.000000 1 3.750000 10.000000 0.000000 10.6800 -77.8127 22.1873 0.0000 0.0000 11000000.00 6192785.70 0.0000 1.3590 0.1600
7.50 1 3.750000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.6800 -77.8127 22.1873 0.0000 0.0000 11000000.00 6192785.70 0.0000 1.3590 0.1600
8.00 0 0.000000 0.000000 0.000000 1 4.000000 10.000000 0.000000 10.7703 -78.0175 21.9825 0.0000 0.0000 11000000.00 6192784.99 0.0000 1.3590 0.1600
8.00 1 4.000000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.7703 -78.0175 21.9825 0.0000 0.0000 11000000.00 6192784.99 0.0000 1.3590 0.1600
8.50 0 0.000000 0.000000 0.000000 1 4.250000 10.000000 0.000000 10.8657 -78.2319 21.7681 0.0000 0.0000 11000000.00 6192784.07 0.0000 1.3590 0.1600
8.50 1 4.250000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.8657 -78.2319 21.7681 0.0000 0.0000 11000000.00 6192784.07 0.0000 1.3590 0.1600
9.00 0 0.000000 0.000000 0.000000 1 4.500000 10.000000 0.000000 10.9659 -78.4551 21.5449 0.0000 0.0000 11000000.00 6192782.89 0.0000 1.3590 0.1600
9.00 1 4.500000 10.000000 0.000000 0 0.000000 0.000000 0.000000 10.9659 -78.4551 21.5449 0.0000 0.0000 11000000.00 6192782.89 0.0000 1.3590 0.1600
9.50 0 0.000000 0.000000 0.000000 1 4.750000 10.000000 0.000000 11.0708 -78.6867 21.3133 0.0000 0.0000 11000000.00 6192781.34 0.0000 1.3590 0.1600
9.50 1 4.750000 10.000000 0.000000 0 0.000000 0.000000 0.000000 11.0708 -78.6867 21.3133 0.0000 0.0000 11000000.00 6192781.34 0.0000 1.3590 0.1600
10.00 0 0.000000 0.000000 0.000000 1 5.000000 10.000000 0.000000 11.1803 -78.9262 21.0738 0.0000 0.0000 11000000.00 6192779.32 0.0000 1.3590 0.1600
10.00 1 5.000000 10.000000 0.000000 0 0.000000 0.000000 0.000000 11.1803 -78.9262 21.0738 0.0000 0.0000 11000000.00 6192779.32 0.0000 1.3590 0.1600
10.50 0 0.000000 0.000000 0.000000 1 5.250000 10.000000 0.000000 11.2944 -79.1730 20.8270 0.0000 0.0000 11000000.00 6192776.66 0.0000 1.3590 0.1600
